id,name,phone,website,address,postal_code,municipality,city,Longitude,Latitude
1,299 Queen Street West,416-384-6104,https://www.much.com/,299 Queen St W,M5V 2Z5,former Toronto,Toronto,-79.39044,43.64942
2,Aga Khan Museum,416-646-4677,https://www.agakhanmuseum.org/,77 Wynford Dr,M3C 1K1,North York,Toronto,-79.33223,43.72526
4,Alexander Muir Memorial Gardens,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/193/index.html,2901 Yonge St,M4N 3N8,former Toronto,Toronto,-79.4012,43.72157
5,Allan Gardens,416-392-7288,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/beaches-gardens-attractions/gardens-and-horticulture/conservatories/allan-gardens-conservatory/,19 Horticultural Ave,M5A 2P2,former Toronto,Toronto,-79.37458,43.66153
7,Arcadia Earth,None,https://www.arcadiaearth.ca/,486 Front St,M5V 0V2,former Toronto,Toronto,-79.397,43.64297
10,Artscape Wychwood Barns,647-696-6962,https://artscapewychwoodbarns.ca/,601 Christie St,M6G 4C7,former Toronto,Toronto,-79.42384,43.67989
11,Ashbridges Bay Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/1/index.html,1561 Lake Shore Blvd E,M4L 3W6,former Toronto,Toronto,-79.31033,43.65996
12,Balmy Beach Park,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=427&title=Balmy-Beach-Park,1 Beech Ave,M4E 1A7,former Toronto,Toronto,-79.28419,43.67057
13,BAPS Shri Swaminarayan Mandir,416-798-2277,http://www.baps.org/Global-Network/North-America/Toronto.aspx,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto,-79.62676,43.73865
14,Bata Shoe Museum,416-979-7799,https://batashoemuseum.ca/,327 Bloor St W,M5S 1W7,former Toronto,Toronto,-79.40019,43.66729
18,Bluffer's Park and Beach (Scarborough Bluffs),416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/2/index.html,1 Brimley Rd S,M1M 3W3,Scarborough,Toronto,-79.23476772,43.70820476
20,Bubble Planet,None,https://bubble-planet.com/toronto/,30 Hanover Rd,M3K 0E2,North York,Toronto,-79.46831,43.73808
25,Campbell House,416-597-0227,http://www.campbellhousemuseum.ca/,160 Queen St W,M5H 3H3,former Toronto,Toronto,-79.38732,43.65105
26,Canada's Walk of Fame,416-367-9255,https://www.canadaswalkoffame.com/,215 King St W,M5V 1H8,former Toronto,Toronto,-79.38676,43.64715
